この目次は別シートからのコピーです！					
編集・追加の際は元シートのご参照をどうぞ					
https://docs.google.com/spreadsheets/d/1uOPWwFZ4UQ51bAklqYyXxSA1Nj8O4Rx70xH0sYqGYl4/edit?usp=sharing					
					
					
					
一人でも自テーマ使いが増えたらいいよね！！！！！				↓最終更新日時（自動更新バグ直しました）ここの日付のセルを自分のプレゼンでセル参照してやればお手軽に更新日書いとけるよ	
					
	↓この列へのリンク反映は1日ぐらい時間差があります			1週間以内に\n更新されたシート	↓(更新した人が任意で記入してくれると読者が増える……かもしれない)
ドレミコード(音響採用型)	ドレミコード(音響採用型)			2023/02/09	1/16　音響新規後の展開をちょっと追記したよ
ドレミネクロス	ドレミネクロス			2022/11/23	
					
ネクロス	ネクロス			2022/11/23	11/23 海外の地区大会優勝構築追記
ネフティス	ネフティス			2023/03/17	9/4 動画urLを追加しました
【ハイドランダー】	【ハイドランダー】			2023/10/01	10/1　一部内容の追記、訂正を行いました。
破械	破械			2023/03/20	3/16 OCG新規について追加
パラディオン	パラディオン				8/31　プレゼン製作中
ハリラドンの残骸	ハリラドンの残骸			2022/09/28	9/30 残骸になりました
HALT	HALT			2023/07/20	7/20大歓迎来たので書き直しました
P.U.N.K.	P.U.N.K.			2023/03/01	
氷水	氷水			2023/12/06	12/05 ラーン実装に伴い全レシピの差し替えと一部記述変更
騎甲虫(ビートルーパー)/昆虫リンク	騎甲虫(ビートルーパー)/昆虫リンク			2023/01/24	9/6　質問の回答書いたよ！サンプルデッキ更新
ファーニマル	ファーニマル			2023/10/28	10/28DC2023oct追記
BF(ブラックフェザー)	BF(ブラックフェザー)			2023/05/19	5/19スズリ旋風初動の展開例が強すぎて加筆しました
ブラック・マジシャン	ブラック・マジシャン			2023/10/28	3/18　作成
海造賊(プランドロール)	海造賊(プランドロール)			2023/11/07	11/03　サンプルデッキ、展開例、雑記・小ネタを更新しました
捕食植物（プレデター・プランツ）	捕食植物（プレデター・プランツ）			2023/10/07	10/04 レシピ更新しました　
ふわんだりぃず	ふわんだりぃず			2022/11/13	10/28制限に対応したふわ
ふわんだりぃず(安価版)	ふわんだりぃず(安価版)			2022/11/13	
